Price,Price per Unit,Brand,category,Description,URL
3.75,3.75,Bjorg,Boissons végétales de soja à la vanille,Boissons avec sucre ajouté,https://www.franprix.fr/courses/p/boisson-vegetale-soja-vanille-bio-99127968
3.3,22.0,Jardin biologique,Tartines craquantes extrudées,Céréales et pommes de terre,https://www.franprix.fr/courses/p/tartines-sarrasin-sans-gluten-bio-99108806
8.15,10.87,Solar6,IGP CÉVENNES,Vins rouges,https://www.franprix.fr/courses/p/syrah-igp-cevennes-bio-vin-rouge-99133269
5.14,13.71,Bjorg,Mueslis with chocolate,Mueslis,https://www.franprix.fr/courses/p/cereales-muesli-avoine-chocolat-bio-99133496
3.4,12.14,Bonduelle,Maïs doux en conserve,Maïs en conserve,https://www.franprix.fr/courses/p/mais-sans-sucres-ajoutes-bio-99176622
2.2,8.8,Vrai,Spécialités laitières nature non sucrées,Spécialités laitières,https://www.franprix.fr/courses/p/yaourt-brebis-nature-bio-99083748
2.7,8.18,Pu-ma conserve,Sauces,Condiments,https://www.franprix.fr/courses/p/sauce-tomate-basilic-bio-99165554
1.36,2.72,Lactel,Laits de vache,Laits UHT,https://www.franprix.fr/courses/p/lait-bio-12-ecreme-99053980
2.35,78.33,franprix,Infusions,Boissons à base de végétaux,https://www.franprix.fr/courses/p/infusion-digestion-bio-99130026
4.15,41.5,franprix,Pistache grillée salée,Pistaches grillées,https://www.franprix.fr/courses/p/pistaches-grillees-et-salees-bio-99160947
4.9,23.33,franprix bio,Châtaignes décortiquées,Châtaignes,https://www.franprix.fr/courses/p/chataignes-entieres-bio-99145019
2.58,8.6,franprix bio,Gnocchi de pommes de terre,Gnocchi,https://www.franprix.fr/courses/p/gnocchis-a-poeler-bio-99161005
1.05,9.13,franprix bio,Galettes de riz complet soufflé,Galettes de riz soufflé,https://www.franprix.fr/courses/p/galettes-de-riz-complet-bio-99120446
3.1,17.71,Bjorg,Gaufres fourrées,Gaufres fourrées au miel,https://www.franprix.fr/courses/p/gaufres-miel-bio-99011687
3.36,12.58,Céréal bio,Raviolis aux légumes,Ravioli,https://www.franprix.fr/courses/p/ravioli-tofu-basilic-bio-99116974
18.53,6.18,Autrement,IGP PAYS D'OC,Vins blancs,https://www.franprix.fr/courses/p/igp-pays-doc-bio-vin-blanc-99128540
1.8,3.6,Franprix,Pâtes de blé dur,Pâtes sèches,https://www.franprix.fr/courses/p/torsades-au-ble-complet-bio-99176700
1.8,18.0,franprix,Palmiers,Biscuits feuilletés,https://www.franprix.fr/courses/p/biscuits-palmiers-pur-beurre-nature-bio-99163261
3.1,3.1,franprix bio,Vers geperste sinaasappelsappen,Sinaasappelsappen,https://www.franprix.fr/courses/p/jus-orange-avec-pulpe-100-pur-jus-bio-99177104
1.6,12.8,franprix,Biscuits sablés,Biscuits,https://www.franprix.fr/courses/p/galettes-pur-beurre-nature-bio-99121037
2.4,12.0,franprix,Chocolats noirs,Chocolats,https://www.franprix.fr/courses/p/tablette-chocolat-noir-dessert-bio-99122399
4.83,4.83,Liebig,Cream of pumpkin soups,Cream of vegetable soups,https://www.franprix.fr/courses/p/soupe-veloute-de-potiron-et-graines-de-courge-bio-99140727
3.65,3.04,franprix bio,Jus de pomme,Boissons sans sucre ajouté,https://www.franprix.fr/courses/p/jus-de-pomme-sans-sucres-ajoutes-100-pur-jus-bio-99178102
0.8,13.33,franprix bio,Poudres à lever,Additifs alimentaires,https://www.franprix.fr/courses/p/levure-chimique-bio-99169923
2.3,2.3,franprix,Farines de blé,Farines de céréales,https://www.franprix.fr/courses/p/farine-de-ble-bio-99118540
4.0,8.0,Yaos,Yaourts à la grecque,Yaourts,https://www.franprix.fr/courses/p/yaourt-a-la-grecque-nature-bio-99160225
6.05,30.25,Juraflore,Comté,Fromages de France,https://www.franprix.fr/courses/p/comte-aop-6-mois-daffinage-bio-99126043
3.95,10.53,Bjorg,Mueslis aux fruits,Mueslis,https://www.franprix.fr/courses/p/cereales-muesli-sans-sucres-ajoutes-bio-99011694
1.75,3.5,Matin leger,Produits laitiers  Laits  Laits demi écrémés  Laits sans lactose  Laits demi écrémés biologiques,Milks,https://www.franprix.fr/courses/p/lait-sans-lactose-99131187
2.9,9.67,Elle & Vire,Crèmes légères,Crèmes fraîches,https://www.franprix.fr/courses/p/creme-fraiche-legere-epaisse-bio-99168567
3.36,5.6,Liebig,Soupes de légumes,Soupes,https://www.franprix.fr/courses/p/soupe-mouline-de-legumes-bio-99169583
5.6,28.0,Nature de france,Nuggets de poulet,Poulets panés,https://www.franprix.fr/courses/p/nuggets-de-poulet-bio-99137077
13.4,26.8,Carte Noire,Cafés,Aliments d'origine végétale,https://www.franprix.fr/courses/p/cafe-grains-de-honduras-bio-99144020
2.3,9.2,franprix bio,Jus de citron,Jus de fruits,https://www.franprix.fr/courses/p/pur-jus-de-citron-bio-99158003
3.75,3.75,franprix bio,Jus de pamplemousse pur jus,Jus de pamplemousse rose,https://www.franprix.fr/courses/p/jus-pamplemousse-rose-sans-sucres-ajoute-100-pur-jus-bio-99177105
3.2,21.33,franprix,Bûche de chèvre,Fromages de chèvre,https://www.franprix.fr/courses/p/fromage-buche-de-chevre-bio-99180631
3.3,3.3,franprix bio,Pure Druivensappen,Druivensappen,https://www.franprix.fr/courses/p/jus-raisin-sans-sucres-ajoutes-100-pur-jus-bio-99176949
3.55,14.2,Jardin Bio,Plats préparés d'origine végétale,Plats préparés à réchauffer au micro ondes,https://www.franprix.fr/courses/p/duo-de-quinoa-aux-legumes-bio-99055113
2.3,13.14,franprix,Biscuits au chocolat,Biscuits,https://www.franprix.fr/courses/p/cookies-noisettes-chocolat-bio-99126658
2.45,9.8,Jardin Bio,Lentilles préparées,Lentilles vertes,https://www.franprix.fr/courses/p/lentilles-vertes-bio-99091995
3.49,3.49,Francine,Farines de blé,Farines de céréales,https://www.franprix.fr/courses/p/farine-de-ble-t55-bio-99061241
4.04,134.67,La Tisanière,Infusions,Boissons à base de végétaux,https://www.franprix.fr/courses/p/infusion-detox-bio-99164541
4.3,17.2,franprix bio,Emmentals,Fromages à pâte pressée cuite,https://www.franprix.fr/courses/p/emmental-bio-99136086
18.78,6.26,Autrement,IGP PAYS D'OC,Vins rosés,https://www.franprix.fr/courses/p/sud-ouest-bio-vin-rose-99088632
2.9,5.8,Franprix,Riz de Camargue,Riz,https://www.franprix.fr/courses/p/duo-de-riz-de-camargue-long-semi-complet-et-rouge-igp-bio-99161921
3.35,8.38,Vrai,Fromages blancs natures,Fromages blancs au lait de brebis,https://www.franprix.fr/courses/p/fromage-blanc-brebis-nature-bio-99134839
5.04,13.44,Chocapic,Céréales au chocolat,Céréales pour petit déjeuner,https://www.franprix.fr/courses/p/cereales-au-chocolat-bio-99158905
5.65,7.53,Bjorg,Jus de pruneaux,Jus de fruits,https://www.franprix.fr/courses/p/jus-de-pruneaux-bio-99011698
1.8,3.6,Franprix,Spaghettis de blé dur complet,Spaghettis de blé dur,https://www.franprix.fr/courses/p/spaghetti-au-ble-complet-bio-99139459
12.75,17.0,Carapelli,Huiles d'olive vierges,Huiles d'olive vierges extra,https://www.franprix.fr/courses/p/huile-dolive-delicato-bio-99134480
2.7,14.21,franprix bio,Crèmes fraîches,Crèmes,https://www.franprix.fr/courses/p/creme-fraiche-epaisse-38-mg-bio-99160980
2.45,24.5,franprix,Mélange apéritif de graines et raisins secs,Mélange apéritif de graines et fruits séchés,https://www.franprix.fr/courses/p/melange-aperitif-bio-99160948
1.75,26.92,Maggi,Soupes déshydratées,Plats préparés déshydratés,https://www.franprix.fr/courses/p/soupe-deshydratee-bouillon-poule-et-vermicelles-bio-99168356
2.47,12.35,Barilla,Sauces tomates au basilic,Sauces tomate,https://www.franprix.fr/courses/p/sauce-tomate-basilic-bio-99144820
1.95,7.8,Bjorg,Soy based creams for cooking,Plant based creams for cooking,https://www.franprix.fr/courses/p/sauce-soja-cuisine-bio-99011695
1.83,4.58,Biona,Canned tomatoes,Tomatoes,https://www.franprix.fr/courses/p/tomates-concassees-bio-99156712
3.25,5.42,La Potagère,SOUPES & POTAGES,Soupes de légumes,https://www.franprix.fr/courses/p/soupe-mouline-de-legumes-verts-bio-99159151
3.73,3.73,Bjorg,Boissons multivégétaux,Boissons sans sucre ajouté,https://www.franprix.fr/courses/p/boisson-vegetale-epeautre-noisette-bio-99173971
3.38,22.53,franprix,Houmous classiques,Houmous,https://www.franprix.fr/courses/p/houmous-bio-99181885
5.5,11.0,Bjorg,Pépites de céréales au chocolat,Pépites de céréales croustillantes,https://www.franprix.fr/courses/p/cereales-croustillant-chocolat-bio-99131012
2.95,5.9,Malo,Yaourts entiers,Yaourts aromatisés,https://www.franprix.fr/courses/p/yaourt-au-citron-bio-99136831
7.85,5.23,Jade,Bières bio,Lagers,https://www.franprix.fr/courses/p/biere-blonde-sans-gluten-bio-45-99122959
5.6,22.4,MALONGO,Cafés moulus,Café Arabica,https://www.franprix.fr/courses/p/cafe-moulu-bio-99041878
4.23,5.64,Le brun,Cidre artisanal bio,Cidres artisanaux,https://www.franprix.fr/courses/p/cidre-artisanal-demi-sec-bio-99138128
2.1,4.2,franprix,Vinaigres de cidre,Vinaigres,https://www.franprix.fr/courses/p/vinaigre-de-cidre-bio-99176293
3.04,6.08,Vrai,Fromages blancs natures,Fromages blancs au lait de vache,https://www.franprix.fr/courses/p/fromage-blanc-nature-36-mg-bio-99128502
